organization;creators;title;directors;premiere
Theater und Orchester Heidelberg;Katrin Lange;Freund Till, genannt Eulenspiegel;Franziska-Theresa Schütz;2016
Theater und Orchester Heidelberg;Kerstin Specht;Amiwiesen;Susanne Schmelcher;2014
Theater und Orchester Heidelberg;Leonardo Vinci / Georg Friedrich Händel;Didone Abbandonata;Wolfgang Katschner / Yona Kim;2015
Theater und Orchester Heidelberg;Maike Krause;Robin Hood;Maike Krause;2014
Theater und Orchester Heidelberg;Mario Salazar;Blueberry Hill;Milan Peschel;2015
Theater und Orchester Heidelberg;Mark-Anthony Turnage / Christian Jost / Arnold Schönberg;Twice through the Heart / Death Knocks / Erwartung;Gad Kadosh / Clara Kalus;2014
Theater und Orchester Heidelberg;Mark Moebius;Pinienkerne wachsen nicht in Tüten;Joana Mallwitz / Annette Büschelberger;2007
Theater und Orchester Heidelberg;Michael Ende;Der Wunschpunsch;Natascha Kalmbach;2015
Theater und Orchester Heidelberg;Michael Frayn;Der nackte Wahnsinn;Dominique Schnizer;2015
Theater und Orchester Heidelberg;Miloš Forman;Einer flog über das Kuckucksnest;Matthias Kaschig;2013
Theater und Orchester Heidelberg;Neil LaBute;Tag der Gnade;Ila Schnier;2007
Theater und Orchester Heidelberg;Niccolò Jommelli;Fetonte;Felice Venanzoni / Demis Volpi;2014
Theater und Orchester Heidelberg;Nina Wurman;Ami goes home;Nina Wurman;2014
Theater und Orchester Heidelberg;Ödön von Horváth;Kasimir und Karoline;Heike M.Goetze;2014
Theater und Orchester Heidelberg;Oscar Wilde / Elfriede Jelinek;Bunbury;Annette Pullen;2007
Theater und Orchester Heidelberg;Oscar Wilder;Wir sind noch einmal davongekommen;Philip Tiedemann;2014
Theater und Orchester Heidelberg;Philip Glass;Echnaton;Nanine Linning;2014
Theater und Orchester Heidelberg;Rainer Werner Fassbinder;Katzelmacher;Susanne Schmelcher    / Isabel Osthues;2015
Theater und Orchester Heidelberg;Ralf Westhoff;Wir sind die Neuen;Holger Schultze;2015
Theater und Orchester Heidelberg;Rebekka Kricheldorf;Sergeant Super-power rettet Amerika;Erich Sidler;2013
Theater und Orchester Heidelberg;Richard Wagner;Der fliegende Holländer;Elias Grandy / Lydia Steier;2016
Theater und Orchester Heidelberg;Sarah Berthiaume;Yukonstyle;Miriam Horwitz;2013
Theater und Orchester Heidelberg;Sarah Victoria Wagner;Heldentrilogie;Sarah Victoria Wagner;2015
Theater und Orchester Heidelberg;Sophokles / Walter Jens;Antigone;Meike Mikat;2007
Theater und Orchester Heidelberg;Thomas Brasch;Die wilden Schwäne;Annette Büschelberger;2006
Theater und Orchester Heidelberg;Tim Price;Die Radikalisierung Bradley Mannings;Caro Thum;2014
Theater und Orchester Heidelberg;Tommaso Traetta;Iphigenie auf Tauris;Wolfgang Katschner / Rudolf Frey;2013
Theater und Orchester Heidelberg;Volker Schmidt;Die Mountanbiker;Orazio Zambeletti;2007
Theater und Orchester Heidelberg;Walter Jens;Oedipus auf Kolonos;Corinna Bethge;2007
Theater und Orchester Heidelberg;William S. Burroughs / Tom Waits / Robert Wilson;The Black Rider;Paul-Georg Dittrich;2014
Theater und Orchester Heidelberg;William Shakespeare;Was ihr wollt;Sebastian Schug;2008
Theater und Orchester Heidelberg;Wolfgang Amadeus Mozart;Idomeneo;Cornelius Meister;2008
Theater und Orchester Heidelberg;Wolfgang Amadeus Mozart;Le nozze di Figaro;Cornelius Meister / Aron Stiehl;2007
Theater und Orchester Heidelberg;Wolfgang Herrndorf;Tschick;Holger Schultze;2014
Theater und Orchester Neubrandenburg / Neustrelitz;Alexandre de La Patellière / Matthieu Delaporte;Der Vorname;Frank Voigtmann;2014
Theater und Orchester Neubrandenburg / Neustrelitz;Bedřich Smetana;Die verkaufte Braut;Roman Hovenbitzer;2013
Theater und Orchester Neubrandenburg / Neustrelitz;Carl Maria von Weber;Der Freischütz;Annett Wöhlert / Mark Rohde;2008
Theater und Orchester Neubrandenburg / Neustrelitz;Carlo Goldoni;Der Diener zweier Herren;Jürgen Kern ;2015
Theater und Orchester Neubrandenburg / Neustrelitz;Charles Gounod;Margarethe (Faust);Wolfgang Lachnitt ;2016
Theater und Orchester Neubrandenburg / Neustrelitz;Dale Wasserman / Mitch Leigh;Der Mann von La Mancha;Wolfgang Lachnitt;2016
Theater und Orchester Neubrandenburg / Neustrelitz;Franz Grothe;Das Wirtshaus im Spessart;Wolfgang Bordel;2015
Theater und Orchester Neubrandenburg / Neustrelitz;Franz Lehár;Das Land des Lächelns;Stefan Malzew;2011
Theater und Orchester Neubrandenburg / Neustrelitz;Franz Lehár;Der Graf von Luxemburg;Jörg Pitschmann / Wolfgang Lachnitt;2014
Theater und Orchester Neubrandenburg / Neustrelitz;Franz Lehár;Die lustige Witwe;Wolfgang Lachnitt;2014
Theater und Orchester Neubrandenburg / Neustrelitz;Franz Wittenbrink;Miles & More;P. Staatsmann;2007
Theater und Orchester Neubrandenburg / Neustrelitz;Franz Wittenbrink;Mütter;Roman Hovenbitzer;2006
Theater und Orchester Neubrandenburg / Neustrelitz;Frederick Loewe;My fair Lady;Wolfgang Lachnitt;2014
Theater und Orchester Neubrandenburg / Neustrelitz;Gaetano Donizetti;Der Liebestrank;Jürgen Pöckel;2007
Theater und Orchester Neubrandenburg / Neustrelitz;George Tabori;Jubiläum;Ralf-Peter Schulze;2008
Theater und Orchester Neubrandenburg / Neustrelitz;Giacomo Puccini;La Bohème;Romely Pfund / Jürgen Pöckel;2010
Theater und Orchester Neubrandenburg / Neustrelitz;Gioachino Rossini;La Cenerentola;Jörg Pitschmann / Wolfgang Lachnitt;2014
Theater und Orchester Neubrandenburg / Neustrelitz;Giuseppe Verdi;La Traviata;Fabian von Matt;2015
Theater und Orchester Neubrandenburg / Neustrelitz GmbH;Bertolt Brecht;Leben des Galilei;Jürgen Kern;2014
Theater und Orchester Neubrandenburg / Neustrelitz;Jacques Offenbach;Die schöne Helena;Mark Rohde;2009
Theater und Orchester Neubrandenburg / Neustrelitz;Johann Strauss (Sohn) ;Die Fledermaus;Romely Pfund;2009
Theater und Orchester Neubrandenburg / Neustrelitz;John Retallack;Hannah und Hanna;M. Dijkema;2008
Theater und Orchester Neubrandenburg / Neustrelitz;Kay Pollak;Wie im Himmel;Isolde Wabra;2015
Theater und Orchester Neubrandenburg / Neustrelitz;Monika Hirschle;Eine schöne Bescherung;Annett Wöhlert;2007
Theater und Orchester Neubrandenburg / Neustrelitz;Robert Thomas;Die acht Frauen;Rosmarie Vogtenhuber;2015
Theater und Orchester Neubrandenburg / Neustrelitz;William Shakespeare;Der Sturm;Annett Wöhlert;2008
Theater und Orchester Neubrandenburg / Neustrelitz;William Shakespeare;Viel Lärm um nichts;Wolfgang Bordel;2016
Theater und Orchester Neubrandenburg / Neustrelitz;Wolfgang Amadeus Mozart;Don Giovanni;Wolfgang Lachnitt;2015
Theater und Philharmonie Essen;Adolf Winkelmann;Jede Menge Kohle;Caroline Stolz;2010
Theater und Philharmonie Essen;Adolphe Adam;Giselle;David Dawson;2014
Theater und Philharmonie Essen;Antonín Dvořák;Rusalka;Tomáš Netopil / Lotte de Beer;2015
Theater und Philharmonie Essen;Cathleen Rootsaert;Choke;Elina Finkel;2011
Theater und Philharmonie Essen;Dennis Kelly;Die Opferung von Gorge Mastromas;Thomas Ladwig;2013
Theater und Philharmonie Essen;Dennis Kelly;Osama der Held;Alexander May;2010
Theater und Philharmonie Essen;Elfriede Jelinek;Ulrike Maria Stuart;Hermann Schmidt-Rahmer;2011
Theater und Philharmonie Essen;Elfriede Jelinek;Wolken.Heim;Bernd Freytag;2015
Theater und Philharmonie Essen;Eric Bogosian;Pounding Nails;Donald Berkenhoff;2010
Theater und Philharmonie Essen;Ernst Toller;Eine Jugend in Deutschland;Moritz Peters;2014
Theater und Philharmonie Essen;Franz Kafka;Der Process;Moritz Peters;2013
Theater und Philharmonie Essen;Franz Schubert / Bernarda Horres / Vera Ring;Winterreise;Bernarda Horres;2010
Theater und Philharmonie Essen;Gaetano Donizetti;L’elisir d’amore;Guillermo García Calvo / Andreas Baesler;2011
Theater und Philharmonie Essen;George Benjamin;Into the little Hill;Kay Link;2014
Theater und Philharmonie Essen;Georg Friedrich Händel;Ariodante;Matthew Halls / Jim Lucassen;2014
Theater und Philharmonie Essen;Georg Friedrich Händel;Hercules;Jos van Veldhoven / Dietrich Hilsdorf;2010
Theater und Philharmonie Essen;Gertrud Pigor / Thomas Pigor;Anton – Das Mäusemusical;Christian Tombeil;2013
Theater und Philharmonie Essen;Giacomo Puccini;Madama Butterfly;Stefan Soltesz / Tilman Knabe;2011
Theater und Philharmonie Essen;Giuseppe Verdi;La Traviata;Stefan Soltesz / Josef E. Köpplinger;2012
Theater und Philharmonie Essen;Giuseppe Verdi;Macbeth;Tomáš Netopil / David Hermann;2013
Theater und Philharmonie Essen;György Ligeti;Le Grand Macabre;Dina Slobodeniouk / Mariame Clément;2015
Theater und Philharmonie Essen;Hans Weingartner / Gunnar Dreßler;Die fetten Jahre sind vorbei;Henner Kallmeyer;2010
Theater und Philharmonie Essen;Hans Werner Henze;Undine;Stijn Celis;2010
Theater und Philharmonie Essen;Heinrich von Kleist;Michael Kohlhaas;Christoph Roos;2011
Theater und Philharmonie Essen;Ingrid Lausund;Benefiz – Jeder rettet einen Afrikaner;Thomas Ludwig;2011
Theater und Philharmonie Essen;Jacques Offenbach;Hoffmanns Erzählungen;Stefan Soltesz / Dietrich W. Hilsdorf;2011
Theater und Philharmonie Essen;Jan Demuth;Holger, Hanna und…;Henner Kallmeyer;2012
Theater und Philharmonie Essen;Johann Strauss (Sohn) ;Die Fledermaus;Stefan Soltesz  / Gil Mehmert;2011
Theater und Philharmonie Essen;John Kander / Fred Ebb / Joe Masteroff;Cabaret;Reinhardt Friese;2014
Theater und Philharmonie Essen;Jonathan Safran Foer / Thomas Ladwig;Alles ist erleuchtet;Thomas Ladwig;2015
Theater und Philharmonie Essen;Jordi Galceran;Die Grönholm-Methode;Jens Pesel;2010
Theater und Philharmonie Essen;Jules Massenet;Werther;Sébastien Rouland / Carlos Wagner;2013
Theater und Philharmonie Essen;Julian Crouch / Phelim McDermott / Tiger Lillies;Shockheaded Peter;Reinhardt Friese;2010
Theater und Philharmonie Essen;Katja Wachter;Eine Blume als Gegenwehr;Tilman Gersch;2014
Theater und Philharmonie Essen;Leo Tolstoi / Armin Petras;Anna Karenina;Thomas Krupa;2014
Theater und Philharmonie Essen;Marc-Oliver Krampe;Fussball ist unser Leben;Marc-Oliver Krampe;2011
Theater und Philharmonie Essen;Marianna Salzmann;Satt;Moritz Peters;2011
Theater und Philharmonie Essen;Max Frisch;Graf Öderland;Konstanze Lauterbach;2012
Theater und Philharmonie Essen;Michael Ende;Jim Knopf;Anne Spaeter;2014
Theater und Philharmonie Essen;Molière;Der Geizige;Jasper Brandis;2013
Theater und Philharmonie Essen;Noah Haidle;Lucky Happiness Golden Express;Tom Gerbert;2014
Theater und Philharmonie Essen;Peter Weiss / Thomas Krupa / Tilman Neuffer;Die Ästhetik des Widerstands;Thomas Krupa;2012
Theater und Philharmonie Essen;Petra Wüllenweber;Am Horizont;Katha Trykowski;2014
Theater und Philharmonie Essen;Philipp Löhle;Supernova (wie Gold entsteht);Katja Blaszkiewitz;2012
Theater und Philharmonie Essen;Pjotr Iljitsch Tschaikowski;Eugen Onegin;Stefan Soltesz / Michael Sturminger;2012
Theater und Philharmonie Essen;Richard Strauss;Die schweigsame Frau;Martyn Brabbins / Guy Joosten;2015
Theater und Philharmonie Essen;Richard Wagner;Götterdämmerung;Stefan Soltesz / Barrie Kosky;2010
Theater und Philharmonie Essen;Tamsin Oglesby;Richtig alt, so 45;Jens Pesel;2012
Theater und Philharmonie Essen;Thomas Krupa / Ari Benjamin;25 Sad Songs;Thomas Krupa;2011
Theater und Philharmonie Essen;Thomas Mann;Buddenbrooks;Christoph Roos;2011
Theater und Philharmonie Essen;Vincenzo Bellini;La Straniera;Josep Caballé Domenech / Christoph Loy;2014
Theater und Philharmonie Essen;Wajdi Mouawad;Verbrennungen;Martin Schulze;2015
Theater und Philharmonie Essen;Wallace Shawn;Das Fieber;Bruno Klimek;2011
Theater und Philharmonie Essen;William Shakespeare;Coriolan;Thomas Krupa;2011
Theater und Philharmonie Essen;William Shakespeare;Der Sturm;Thomas Krupa;2015
Theater und Philharmonie Essen;Wolfgang Amadeus Mozart;Die Entführung aus dem Serail;Jetske Mijnssen;2012
Theater und Philharmonie Essen;Wolfgang Amadeus Mozart;Idomeneo;Stefan Herheim;2014
Theater und Philharmonie Essen;Wolfgang Herrndorf / Robert Koall;Tschick;Juana Milena Polasek;2013
Theater und Philharmonie Essen;Wolfram Lotz;Die lächerliche Finsternis;Robert Gerloff;2014
Theater Vorpommern;Alan Alexander Milne / Birgit Schuster;Pu, der Bär;Birgit Schuster;2008
Theater Vorpommern;Alan Menken / Howard Ashman;Der kleine Horrorladen;Thomas Enzinger;2006
Theater Vorpommern;Andres Veiel / Gesine Schmidt;Der Kick;Henriette Sehmsdorf;2006
Theater Vorpommern;Antonín Dvořák;Die kleine Nixe Rusalka;Elisa Weyl;2015
Theater Vorpommern;Anton Tschechow;Die Möwe;Matthias Nagatis;2007
Theater Vorpommern;Astrid Saalbach;Das Ende der Welt;Michael Baumgarten;2007
Theater Vorpommern;Brüder Grimm / Sascha Löschner;König Drosselbart;André Rößler;2015
Theater Vorpommern;Carl Maria von Weber;Der Freischütz;Dirk Löschner;2015
Theater Vorpommern;Carl Millöcker;Der Bettelstudent;Horst Kupich;2014
Theater Vorpommern;Carlo Collodi;Pinocchio;Matthias Nagatis;2007
Theater Vorpommern;David S. Craig;Big Deal;Thomas Roth;2007
Theater Vorpommern;Engelbert Humperdinck;Hänsel und Gretel;Mathias Husmann / Bruno Berger-Gorski;2008
Theater Vorpommern;Franz Lehár;Das Land des Lächelns;Anton Nekovar;2009
Theater Vorpommern;Franz Lehár;Die lustige Witwe;Anton Nekovar;2006
Theater Vorpommern;Gaetano Donizetti;Der Liebestrank;Alexandra Kieser;2007
Theater Vorpommern;George Orwell / Peter Hall;Die Farm der Tiere;Matthias Nagatis;2008
Theater Vorpommern;Giacomo Puccini;Tosca;Mathias Husmann / Anton Nekovar;2006
Theater Vorpommern;Gian-Carlo Menotti;Der Konsul;Uwe Drechsel;2007
Theater Vorpommern;Gioachino Rossini;Il Barbiere di Siviglia;Susanne Knapp;2015
Theater Vorpommern;Gotthold Ephraim Lessing;Nathan der Weise;André Rößler;2015
Theater Vorpommern;Hans Christian Andersen;Das Feuerzeug;Thomas Ott-Albrecht;2006
Theater Vorpommern;Heinrich Spoerl;Die Feuerzangenbowle;Elsa Vortisch;2014
Theater Vorpommern;Heinrich von Kleist;Prinz Friedrich von Homburg;Matthias Nagatis;2007
Theater Vorpommern;Henrik Ibsen;Hedda Gabler;Dirk Löschner;2015
Theater Vorpommern;Jacques Offenbach;Hoffmanns Erzählungen;Anton Nekovar;2007
Theater Vorpommern;Jan Decker;Kassensturz;Heike Beutel;2006
Theater Vorpommern;Jule Styne;Manche mögen’s heiss;Matthias Nagatis;2008
Theater Vorpommern;Ludwig van Beethoven;Fidelio;Mathias Husmann / Anton Nekovar;2008
Theater Vorpommern;Marc Becker;Meier, Müller, Schulz – oder nie wieder einsam;Sonja Weichand;2015
Theater Vorpommern;Otfried Preußler;Der Räuber Hotzenplotz;Michael Neuwirth;2007
Theater Vorpommern;Paul Maar / Rainer Bielfeldt;Eine Woche voller Samstage;Matthias Nagatis;2009
Theater Vorpommern;Peter Ensikat;Die Bremer Stadtmusikanten;Matthias Nagatis;2006
Theater Vorpommern;Peter Shaffer;Komödie im Dunkeln;Jan Jochymski;2015
Theater Vorpommern;Ralf Dörnen;Brahms-Requiem;Ralf Dörnen;2008
Theater Vorpommern;Ralf Dörnen;Engel;Ralf Dörnen;2007
Theater Vorpommern;Ralf Dörnen;Fascinating Rhythm;Ralf Dörnen;2006
Theater Vorpommern;Sergei Prokofjew;Romeo und Julia;Ralf Dörnen;2007
Theater Vorpommern;Stephen King / Simon Moore;Misery;Tobias Sosinka;2007
Theater Vorpommern;Szymon Wróblewski;Die Oberfläche;Inken Böhack;2007
Theater Vorpommern;Tennessee Williams;Endstation Sehnsucht;Ralf Dörnen;2009
Theater Vorpommern;Thomas Bernhard;Vor dem Ruhestand;Alfred Nicolaus;2008
Theater Vorpommern;Udo Zimmermann / Ingo Zimmermann;Weisse Rose;Alexandra Kieser;2007
Theater Vorpommern;Ulrich Plenzdorf;Die Legende vom Glück ohne Ende;Nils Düwell;2007
Theater Vorpommern;Viktor Ullmann;Der Sturz des Antichrist;Karl Prokopetz / Anton Nekovar;2008
Theater Vorpommern;William Shakespeare;Hamlet;Matthias Nagatis;2006
Theater Vorpommern;Wolfgang Koeppen / Michael Baumgarten;Das Treibhaus;Michael Baumgarten;2006
Theater Wasserburg;Regina Alma Semmler;Bergaufbergab;Regina Semmler;2008
Theater Wasserburg;Sophokles;Antigone;Annett Segerer;2008
theater wrede+;Christian Morgenstern;Die Hausschnecke;Marga Koop;2013
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Agatha Christie;Und dann gab’s keines mehr;Axel Vornam;2006
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Alan Ayckbourn;Ab jetzt;Christian Marten-Molnár;2006
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Alan Menken / Howard Ashman;Der kleine Horrorladen;Thomas Voigt / Steffen Kaiser;2007
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Alexandre Dumas;Die drei Musketiere;Kai Festersen;2007
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Alistair Beaton;König der Herzen;Carl-Hermann Risse;2014
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Andri Beyeler;Die Kuh Rosmarie;Kerstin Weiß;2007
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Anton Tschechow;Drei Schwestern;Maik Priebe;2015
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Armin Petras;Hafen der Sehnsucht;Uta Koschel;2006
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Bedřich Smetana;Die verkaufte Braut;Oliver Weder / Achim Lenz;2015
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Bertolt Brecht;Trommeln in der Nacht;André Rößler;2014
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Brüder Grimm / Jan Bodinus;Der gestiefelte Kater – Sieben Leben;Sebastian S. Golser;2015
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Brüder Grimm / Ulrich Hub;Der Froschkönig;Martin Ratzinger;2008
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Carl Laufs / Wilhelm Jacoby;Pension Schöller;Martin Pfaff;2011
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Caryl Churchill;Augenblick der Schwäche;Monica Querndt;2010
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Christiane Richers;Das ist Esther;Anne-Kristin Jahn;2009
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Christina Kettering;Lost in the Supermarket;Katka Schroth;2014
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Claude Boujon / Julius Jensen;Der blaue Stuhl;Sebastian S. Golser;2014
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Clément Michel;Trennung für Feiglinge;Julia Heinrichs;2016
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Daniel Call;Wetterleuchten;Monika Querndt;2006
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;David S. Craig;Lust oder Liebe;Christian Kleinert;2009
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;David Wood;Der Lebkuchenmann;Uta Koschel;2006
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;David Wood;Quartetto;Jens Schmidl;2015
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Dimitré Dinev;Eine heikle Sache, die Seele;Herbert Olschok;2015
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Ferenc Molnár;Delila oder Der Liebestest;Oliver Trautwein;2016
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Francisco de Rojas Zorrilla;Der falsche Don Juan;Alejandro Quintana;2015
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Francis Veber;Dinner für Spinner;Norbert Baumgarten;2014
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Franz Arnold / Ernst Bach;Weekend im Paradies;Maik Priebe;2013
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Franz Lehár;Der Graf von Luxemburg;Oliver Weder / Wolfgang Dosch;2013
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Franz Wittenbrink;Männer;Torsten Krug / Thomas Voigt;2007
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Frederick Loewe;My fair Lady;Toni Burkhardt / Oliver Weder;2016
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Friedrich Schiller;Die Verschwörung des Fiesco zu Genua;Axel Richter;2008
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Friedrich Schiller;Kabale und Liebe;Steffen Mensching;2009
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Gaetano Donizetti;Der Liebestrank;Oliver Weder / Kerstin Weiß;2006
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Georg Büchner;Lenz / Leonce & Lena;Matthias Reichwald;2011
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Georg Kaiser;Zwei Krawatten;Herbert Olschok;2009
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Gérald Sibleyras / Jean Dell;Anderthalb Stunden zu spät;Andreas Pirl;2015
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Gerhart Hauptmann;Die Ratten;Uta Koschel;2007
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Giacomo Puccini;Gianni Schicchi – Dantes Höllenfahrt;Oliver Weder;2009
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Giacomo Puccini;La Bohème;Eckehard Stier / Klaus Arauner;2008
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Gilles Dyrek;Venedig im Schnee;Jens Schmidl;2009
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Gioachino Rossini;Der Barbier von Sevilla;Peer Boysen / Oliver Weder;2016
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Gotthold Ephraim Lessing;Emilia Galotti;Wolf Bunge;2006
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Götz Brandt;Der König der Himmel;Götz Brandt;2014
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Hans Fallada;Kleiner Mann, was nun?;Wolf Bunge;2007
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Holger Schober;Hikikomori;Anne-Kristin Jahn;2008
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Ingeborg von Zadow;Raus aus dem Haus;Antja Klahn;2015
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Irmgard Keun;Das kunstseidene Mädchen;Steffen Mensching;2016
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;István Tasnádi;Staatsfeind Kohlhaas;Maya Fanke;2014
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Johann Strauss (Sohn) ;Die Fledermaus;Mark Rohde / Stefanie Bertram;2008
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Johann Wolfgang von Goethe;Faust I;Steffen Mensching;2015
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;John Millington Synge;Der Held der westlichen Welt;Herbert Olschok;2010
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Joseph Haydn;Die Welt auf dem Monde;Peer Boysen;2014
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Jule Styne;Sugar;Thomas Voigt / Matthias Nagatis;2007
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Kristo Šagor;Patricks Trick;Anne-Katrin Bartholomäus;2015
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Lewinsky / Franz Lehár;Freunde, das Leben ist lebenswert;Alexander Stillmark;2011
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Lot Vekemans;Judas;Markus Fennert;2013
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Luigi Pirandello;Sechs Personen suchen einen Autor;Steffen Mensching;2008
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Lutz Hübner;Aussetzer;Norbert Baumgarten;2011
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Lutz Hübner;Blütenträume;Jörg Foth;2008
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Marcel Mihalovici;Krapp oder das letzte Band;Christian Marten-Molnár / Oliver Weder;2008
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Marlene Röder;Zebraland;Ulrike Lenz;2014
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Martin / Viktor Ullmann;Die Weise von Liebe und Tod des Cornets Christoph Rilke;Christian Marten-Molnár / Oliver Weder;2007
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Max Frisch;Biografie.  Ein Spiel;Steffen Mensching;2010
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Michael Ende;Der…Wunschpunsch;Steffen Pietsch;2007
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Michael Frayn;Der nackte Wahnsinn;Carl-Hermann Risse;2015
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Michele Riml;Sexy Laundry;Maya Fanke;2013
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Molière;Der Geizige;Maya Fanke;2016
Thüringer Landestheater Rudolstadt - Thüringer Symphoniker Saalfeld-Rudolstadt;Nicolas Barreau / Gunnar Dreßler;Das Lächeln der Frauen;Ulrike Müller;2014
