organization;creators;title;directors;premiere
Bühnen Köln;Andrei Tarkowski;Andrej Rubljow;Robert Borgmann;2014
Bühnen Köln;Anna Viebrock/ Malte Ubenauf;Ankunft der Tiere;Anna Viebrock;2009
Bühnen Köln;Antonio Latella;Mamma Mafia;Antonio Latella;2011
Bühnen Köln;Anton Tschechow;Der Kirschgarten;Karin Henkel;2011
Bühnen Köln;Benjamin Britten;The Turn of the Screw;Raimund Laufen;2011
Bühnen Köln;Bernard-Marie Koltès;In der Einsamkeit der Baumwollfelder;Johannes Wenzel;2007
Bühnen Köln;Bertolt Brecht;Der gute Mensch von Sezuan;Moritz Sostmann;2013
Bühnen Köln;Bertolt Brecht / Kurt Weill;Die Dreigroschenoper;Nicolas Stemann;2011
Bühnen Köln;Brüder Grimmelshausen / Soeren Voima;Simplicissimus;Thomas Dannemann;2009
Bühnen Köln;Camille Saint-Saëns;Samson et Dalila;Enrico Delamboye / Tilman Knabe;2009
Bühnen Köln;Carl Maria von Weber;Der Freischütz;Beatrice Lachaussée / Markus Stenz  / Viesturs Kairišs;2014
Bühnen Köln;Carl Maria von Weber;Der Freischütz;Enrico Delamboye / Michael Heinicke;2007
Bühnen Köln;Carlo Goldoni;Die Trilogie der Sommerfrische;Antonio Latella;2008
Bühnen Köln;Carl Orff;Carmina burana;Markus Stenz / Royston Maldoom;2011
Bühnen Köln;Carl Orff;Die Kluge;Brigitte Gillessen;2016
Bühnen Köln;Chilly Gonzales / Adam Traynor;The Shadow;Adam Traynor;2014
Bühnen Köln;Christoph Nußbaumeder;Mörder-Variationen;Florian Fiedler;2008
Bühnen Köln;Clemens Sienknecht;Studio Ro;Clemens Sienknecht;2008
Bühnen Köln;Dante;Die göttliche Komödie;Sebastian Baumgarten;2015
Bühnen Köln;David Schalko / Kyrre Kvam;Kimberly;David Schalko;2015
Bühnen Köln;Detlev Glanert;Caligula;Markus Stenz / Christian Pade;2006
Bühnen Köln;Detlev Glanert;Solaris;Lothar Zagrosek / Patrick Kinmonth;2014
Bühnen Köln;Dirk Kummer / Jan Neumann;Carls Werk;Dirk Kummer / Jan Neumann;2014
Bühnen Köln;Dirk Kummer / Jan Neumann;Carls Werk;Dirk Kummer / Jan Neumann;2015
Bühnen Köln;Edmond Rostand;Cyrano de Bergerac;Simon Solberg;2016
Bühnen Köln;Elfriede Jelinek;Im Bus / Ein Sturz;Karin Beier;2010
Bühnen Köln;Elfriede Jelinek;Rechnitz (Der Würge- engel);Nicolas Stemann;2009
Bühnen Köln;Elisabeth Naske;Lollo;Ela Baumann;2016
Bühnen Köln;Emmerich Kálmán;Die Csárdásfürstin;Gerrit Prießnitz / Bernd Mottl;2010
Bühnen Köln;Ermanno Wolf-Ferrari;Cenerentola;Raimund Laufen / Brigitta Gillessen;2010
Bühnen Köln;Falk Richter;Brain and Beauty;Angela Richter;2014
Bühnen Köln;Falk Richter;Die Avantgarde der Supernerds;Angela Richter;2015
Bühnen Köln;Falk Richter;Kippenberger!;Angela Richter;2013
Bühnen Köln;Falk Richter;Seidenstrasse;Angela Richter;2016
Bühnen Köln;Federico García Lorca;Bernarda Albas Haus;Hans Neuenfels;2007
Bühnen Köln;Feridun Zaimoglu / Günter Senkel;Schattenstimmen;Jette Steckel;2008
Bühnen Köln;Fernand Crommelynck;Der herrliche Hahnrei;Dusan David Parizek;2007
Bühnen Köln;Franz Gillparzer;Das goldne Vliess;Karin Beier;2008
Bühnen Köln;Franz Kafka;Amerika;Moritz Sostmann;2013
Bühnen Köln;Franz Lehár;Die lustige Witwe;Jasmin Solfaghari;2006
Bühnen Köln;Franz Xaver Kroetz;Wunschkonzert;Katie Michell;2008
Bühnen Köln;Friedrich Hebbel;Judith;Christina Paulhofer;2013
Bühnen Köln;Friedrich Hölderlin;Der Tod des Empedokles;Laurent Chétouane;2008
Bühnen Köln;Friedrich Schiller;Kabale und Liebe;Simon Solberg;2014
Bühnen Köln;Gaetano Donizetti;L’Elisir d‘Amore;Andreas Schüller / Bernd Mottl;2014
